airline_origin,min_taxi,max_taxi,avg_taxi
DL-MHT,0.0,219.0,24.098204
DL-MLB,0.0,233.0,21.881151
DL-MSY,0.0,233.0,22.1937
DL-OGG,0.0,74.0,19.12737
DL-PBI,0.0,191.0,23.637585
DL-PIT,0.0,160.0,25.986126
DL-PNS,0.0,181.0,21.781342
DL-PSC,0.0,114.0,15.5603075
DL-PSP,0.0,63.0,19.435465
DL-PVD,0.0,191.0,23.117556
DL-PWM,0.0,223.0,21.53662
DL-RDU,0.0,235.0,23.517065
DL-ROC,0.0,141.0,22.123917
DL-RSW,0.0,1442.0,23.94603
DL-SAN,0.0,212.0,24.872879
DL-SAV,0.0,164.0,22.440527
DL-SBN,0.0,43.0,17.127274
DL-SEA,0.0,273.0,25.128244
DL-SRQ,0.0,209.0,21.235191
DL-STL,0.0,180.0,24.613451
DL-STT,0.0,409.0,25.267046
DL-SYR,0.0,199.0,22.818045
DL-TLH,0.0,205.0,20.78614
DL-TPA,0.0,248.0,22.887722
DL-TYS,0.0,1447.0,23.783592
EV-ABE,0.0,1501.0,33.852364
EV-ABQ,0.0,38.0,17.347826
EV-ACY,0.0,143.0,24.420143
EV-AEX,0.0,1475.0,24.005936
EV-AGS,0.0,1570.0,21.11411
EV-APF,0.0,1457.0,22.670887
EV-AUS,0.0,1574.0,35.84028
EV-AVL,0.0,1472.0,20.405571
EV-AVP,0.0,1496.0,27.82547
EV-BGM,0.0,87.0,25.416527
EV-BHM,0.0,1454.0,21.98119
EV-BMI,0.0,115.0,25.170052
EV-BOS,0.0,147.0,29.355755
EV-BPT,0.0,107.0,15.055871
EV-BTV,0.0,99.0,27.166666
EV-BUF,0.0,1691.0,27.05011
EV-BZN,0.0,1485.0,23.402332
EV-CRP,0.0,1493.0,25.045397
EV-CVG,0.0,1709.0,63.039074
EV-DCA,0.0,1471.0,22.523502
EV-DEN,0.0,1469.0,23.58906
EV-DFW,0.0,1701.0,39.26317
EV-DHN,0.0,1497.0,18.53507
EV-DTW,0.0,1516.0,35.679596
EV-ERI,0.0,97.0,20.231724
EV-EVV,0.0,1575.0,22.455069
EV-EWN,0.0,135.0,20.449528
EV-EWR,0.0,144.0,32.546627
EV-FAY,0.0,1470.0,21.031301
EV-FCA,0.0,45.0,16.183674
EV-FLL,0.0,153.0,22.651428
EV-FSD,0.0,76.0,22.670588
EV-GEG,0.0,60.0,16.935408
EV-GRB,0.0,58.0,19.024752
EV-GRR,0.0,1483.0,25.192408
EV-GTR,0.0,1488.0,21.404558
EV-HDN,0.0,40.0,16.112246
EV-HOU,0.0,1512.0,23.49373
EV-HSV,0.0,1516.0,22.697752
EV-IAD,0.0,1505.0,35.37761
EV-ICT,0.0,1473.0,25.198208
EV-ILE,0.0,39.0,14.871007
EV-ILM,0.0,1487.0,22.29212
EV-ISP,0.0,1528.0,25.300106
EV-JAN,0.0,1500.0,22.779202
EV-LAS,0.0,1477.0,27.818245
EV-LBB,0.0,1452.0,17.972591
EV-LEX,0.0,1480.0,20.955679
EV-LFT,0.0,1463.0,22.764605
EV-LIT,0.0,1516.0,25.223362
EV-LWB,0.0,1454.0,21.289593
EV-MCI,0.0,117.0,20.738428
EV-MEI,0.0,1460.0,22.520857
EV-MHT,0.0,1486.0,25.118093
EV-MKE,0.0,1482.0,25.757708
EV-MLI,0.0,1472.0,25.204744
EV-MLU,0.0,1471.0,21.375475
EV-MSN,0.0,1465.0,25.184496
EV-MSO,0.0,72.0,12.856618
EV-MTH,0.0,107.0,27.625
EV-OAJ,0.0,128.0,21.704947
EV-OAK,0.0,1460.0,23.981995
EV-ONT,0.0,1459.0,22.287746
EV-ORD,0.0,1495.0,28.46834
EV-PDX,0.0,46.0,16.457926
EV-PFN,0.0,1479.0,20.63101
EV-PHL,0.0,158.0,31.898417
EV-PHX,0.0,169.0,23.124601
EV-PIA,0.0,1476.0,25.108011
EV-PIH,1454.0,1454.0,1454.0
EV-PIT,0.0,1476.0,25.05315
EV-PNS,0.0,1464.0,18.339905
EV-PSC,0.0,68.0,17.301205
EV-PSP,0.0,54.0,15.629428
EV-PVU,17.0,17.0,17.0
EV-RAP,8.0,36.0,16.88
EV-RDU,0.0,1526.0,24.37005
EV-RIC,0.0,1475.0,22.081173
EV-ROA,0.0,1493.0,23.186207
EV-ROC,0.0,1473.0,27.34015
EV-RSW,10.0,28.0,17.0
EV-SAN,0.0,1460.0,24.056768
EV-SAT,0.0,1496.0,27.478828
EV-SAV,0.0,1453.0,21.62714
EV-SGF,0.0,1453.0,24.732136
EV-SMF,0.0,1471.0,23.13482
EV-SNA,0.0,680.0,28.241102
EV-SOP,0.0,78.0,21.865204
EV-SRQ,0.0,1457.0,23.6108
EV-STL,0.0,1537.0,29.026676
EV-TOL,0.0,1466.0,22.412233
EV-TPA,0.0,1456.0,17.164429
EV-TUL,0.0,1520.0,21.57676
EV-VLD,0.0,1485.0,18.287205
EV-VPS,0.0,1480.0,21.818722
F9-ATL,0.0,150.0,25.855682
F9-AUS,0.0,136.0,18.878756
F9-BDL,0.0,56.0,22.015415
F9-CAK,0.0,159.0,19.553167
F9-CLT,20.0,20.0,20.0
F9-DTW,0.0,144.0,24.41159
F9-ELP,17.0,21.0,19.333334
F9-IND,0.0,156.0,20.327085
F9-LGA,0.0,253.0,35.32219
F9-MCO,0.0,149.0,23.140854
F9-MDW,0.0,229.0,22.60742
F9-MSY,0.0,40.0,15.522876
F9-PHX,0.0,151.0,21.553568
F9-RNO,0.0,58.0,17.40904
F9-RSW,0.0,156.0,22.593353
F9-SAN,0.0,154.0,22.0654
F9-STL,0.0,184.0,21.423653
F9-TPA,0.0,131.0,22.422491
FL-CAK,0.0,192.0,20.279213
FL-CHS,0.0,126.0,20.38315
FL-CLT,0.0,210.0,25.27561
FL-CMH,10.0,58.0,20.554502
FL-DAY,0.0,155.0,20.025303
FL-DEN,0.0,208.0,23.456518
FL-EWR,0.0,402.0,33.533367
FL-GPT,0.0,150.0,17.430285
FL-HOU,0.0,215.0,20.747158
FL-IND,0.0,178.0,20.210897
FL-LAS,0.0,214.0,24.637571
FL-MDT,12.0,37.0,21.47619
FL-MDW,0.0,229.0,21.729189
FL-MEM,0.0,220.0,22.421871
FL-MIA,0.0,196.0,25.636688
FL-MKE,0.0,875.0,21.92777
FL-MSY,0.0,187.0,19.892746
FL-MYR,0.0,221.0,19.932531
FL-PBI,0.0,138.0,20.950216
FL-PHF,0.0,200.0,20.317928
FL-PHL,0.0,239.0,28.622948
FL-PHX,0.0,69.0,21.09
FL-PIT,0.0,172.0,23.33991
FL-PWM,0.0,202.0,19.441977
FL-RDU,0.0,165.0,21.337664
FL-RIC,0.0,191.0,20.96495
FL-SAT,11.0,100.0,24.267372
FL-SEA,0.0,104.0,24.298517
FL-SFO,0.0,236.0,25.2919
FL-TPA,0.0,306.0,19.903833
HA-ANC,13.0,21.0,17.0
HA-HNL,0.0,1435.0,16.382748
HA-LAS,0.0,102.0,24.15624
HA-OAK,10.0,35.0,19.421875
HA-PHX,0.0,91.0,23.18336
HA-SEA,0.0,102.0,21.40438
HA-SJC,0.0,60.0,18.890757
HA-SMF,0.0,72.0,17.96271
HP-ABQ,0.0,150.0,20.58124
HP-ATL,0.0,237.0,27.988941
HP-AUS,0.0,149.0,19.870974
HP-BOI,0.0,66.0,17.393291
HP-BOS,0.0,212.0,28.908916
HP-COS,0.0,169.0,21.305182
HP-DEN,0.0,196.0,20.202154
HP-DTW,0.0,242.0,23.93022
HP-ELP,0.0,103.0,20.093964
HP-GEG,0.0,137.0,16.428162
HP-HNL,0.0,44.0,25.375
HP-IAH,0.0,166.0,23.033323
HP-ICT,0.0,67.0,17.698347
HP-IND,0.0,119.0,23.699976
HP-JFK,0.0,337.0,31.627808
HP-LAX,0.0,215.0,18.57367
HP-LGA,20.0,36.0,28.0
HP-MCI,0.0,119.0,19.873964
HP-MCO,0.0,166.0,20.901691
HP-MDW,0.0,43.0,15.771428
HP-MKE,0.0,133.0,22.356665
HP-MSP,0.0,212.0,26.030188
HP-OGG,15.0,37.0,21.1875
HP-PDX,0.0,80.0,15.914298
